COM	NOM_COM	GENTILE
3174	Molles	Mollois
3175	Monestier	Monestiers
3179	Montaigu-le-Blin	Montacutins
3181	Montcombroux-les-Mines	Montcombrouxois
3182	Monteignet-sur-l'Andelot	Monteignétois
3183	Le Montet	Montetois
3184	Montilly	Montillyssois
3185	Montluçon	Montluçonnais
3186	Montmarault	Montmaraultois
3188	Montord	Montorois
3189	Montvicq	Montvicquois
3191	Murat	Muratais
3192	Nades	Nadois
3197	Neuilly-le-Réal	Neuillyssois
3198	Neure	Neurois
3200	Neuvy	Neuvyssois
3201	Nizerolles	Nizerollois
3202	Noyant-d'Allier	Noyantais
3203	Paray-le-Frésil	Paraysiens
3206	La Petite-Marche	Marchois
3207	Pierrefitte-sur-Loire	Pierrefittois
3208	Le Pin	Pinois
3209	Poëzat	Poezatois
3212	Quinssaines	Quinssainois
3216	Ronnet	Ronnetois
3217	Saint-Angel	Saint-Angélois
3218	Saint-Aubin-le-Monial	Saint-Aubinois
3219	Saint-Bonnet-de-Four	Saint-Bonnitains
3220	Saint-Bonnet-de-Rochefort	Saint-Bonnétois
3223	Saint-Christophe	Saint-Christophois
3224	Saint-Clément	Saint-Clémentois
3232	Saint-Félix	Saint-Féliciens
3233	Saint-Genest	Saint-Genestois
3234	Saint-Gérand-de-Vaux	Saint-Gérandais
3236	Saint-Germain-des-Fossés	Saint-Germanois
3238	Saint-Hilaire	Saint-Hilarois
3239	Saint-Léger-sur-Vouzance	Léodégariens
3240	Saint-Léon	Saint-Léonnais
3241	Saint-Léopardin-d'Augy	Augyssois
3242	Saint-Loup	Loupiots
3243	Saint-Marcel-en-Murat	Saint-Marcellais
3246	Saint-Martinien	Martinusiens
3247	Saint-Menoux	Ménulphiens
3256	Saint-Priest-en-Murat	Saint-Priestains
3258	Saint-Rémy-en-Rollat	Saint-Rémois
3260	Saint-Sornin	Saint-Sorninois
3261	Sainte-Thérence	Saint-Thérençois
3262	Saint-Victor	Saint-Victoriens
3263	Saint-Voir	Saint-Voiriens
3265	Saligny-sur-Roudon	Salignois
3266	Sanssat	Sanssatois
3267	Saulcet	Saulcétois
3268	Saulzet	Saulzetois
3270	Sazeret	Sazeretois
3271	Serbannes	Serbannais
3273	Seuillet	Seuillétois
3274	Sorbier	Sorbiérois
3275	Souvigny	Souvignyssois
3276	Sussat	Sussatois
3277	Target	Targetois
3279	Teillet-Argenty	Teilletois
3280	Terjat	Terjatois
3281	Le Theil	Theillois
3282	Theneuille	Théneuillois
3284	Thionne	Thionnois
3285	Tortezais	Torteziens
3287	Treban	Trébanais
3292	Tronget	Trongétois
3294	Ussel-d'Allier	Usselois
3297	Vallon-en-Sully	Vallonnais
3298	Varennes-sur-Allier	Varennois
3299	Varennes-sur-Tèche	Varennois
3300	Vaumas	Vaumasiens
3302	Veauce	Veauciens
3304	Vendat	Vendatois
3306	Le Vernet	Vernétois
3307	Verneuil-en-Bourbonnais	Verneuillois
3308	Vernusse	Vernussois
3310	Vichy	Vichyssois
3311	Vicq	Vicois
3312	Vieure	Vieurois
3316	Villeneuve-sur-Allier	Villeneuvois
3320	Ygrande	Ygrandais
4004	Allemagne-en-Provence	Allemagniens
4005	Allons	Allonsais
4008	Annot	Annotains
4009	Archail	Archailois
4013	Aubignosc	Aubignoscais
4017	Auzet	Auzetans
4018	Banon	Banonais
4019	Barcelonnette	Barcelonnettes
4021	Barras	Barrasiens
4022	Barrême	Barrêmois
4023	Bayons	Bayonnais
4024	Beaujeu	Beaujolais
4025	Beauvezer	Belveziens
4026	Bellaffaire	Bellaffairois
4027	Bevons	Bevonnais
4031	Bras-d'Asse	Bras-d'Assiens
4035	Brunet	Brunetois
4037	Le Caire	Cairois
4039	Castellane	Castellanais
4041	Le Castellet	Castellians
4042	Castellet-lès-Sausses	Castelains
4050	Châteaufort	Castelfortois
4051	Châteauneuf-Miravail	Castelnovins
4054	Châteauredon	Chateauredonnais
4061	Colmars	Colmarsiens
4062	La Condamine-Châtelard	Condaminois
4067	Curel	Curelais
4072	Draix	Draixois
4073	Enchastrayes	Enchastrayens
4074	Entrages	Entrageois
4079	L'Escale	Escalais
4084	Estoublon	Estoublonais
4086	Faucon-de-Barcelonnette	Fauconnais
4087	Fontienne	Fontiennois
4088	Forcalquier	Forcalquiérens
4090	Le Fugeret	Fugeretois
4092	La Garde	Gardois
4093	Gigors	Gigordons
4096	Jausiers	Jausierois
4097	La Javie	Javidois
4099	Lambruisse	Lambruissiens
4102	Le Lauzet-Ubaye	Lauzetans
4104	Limans	Limanais
4106	Lurs	Lursiens
4109	Mallefougasse-Augès	Fougassais
4110	Mallemoisson	Mallemoissonnois
4111	Mane	Manarains
4113	Marcoux	Marcousiens
4115	Méailles	Méaillais
4116	Les Mées	Méens
4118	Melve	Melvéins
4121	Mézel	Mézeliens
4122	Mirabeau	Mirabellois
4123	Mison	Misonnais
4124	Montagnac-Montpezat	Montagnacais
4127	Montfort	Montfortains
4128	Montfuron	Montfuronnais
4129	Montjustin	Montjustiniens
4130	Montlaux	Moularins
4134	La Motte-du-Caire	Mottois
4136	La Mure-Argens	Murencs
4137	Nibles	Niblois
4139	Noyers-sur-Jabron	Nucetois
4140	Les Omergues	Omergois
4141	Ongles	Onglois
4144	La Palud-sur-Verdon	Paluards
4145	Peipin	Peipinois
4148	Peyroules	Peyrouliens
4150	Piégut	Piégutais
4151	Pierrerue	Pierreruriens
4154	Pontis	Pontisois
4158	Quinson	Quinsonnais
4159	Redortiers	Redortiérins
4161	Méolans-Revel	Méovellans
4163	Revest-du-Bion	Revestois
4164	Revest-Saint-Martin	Revestois
4166	Riez	Réiens
4169	La Rochegiron	Rochegironais
4170	La Rochette	Rochettois
4171	Rougon	Rougonnais
4172	Roumoules	Roumoulins
4174	Saint-Benoît	Saint-Benoitiens
4179	Saint-Geniez	Saint-Genais
4180	Saint-Jacques	Saint-Jacquois
4181	Saint-Jeannet	Saint-Janens
4182	Saint-Julien-d'Asse	Saint-Juliennais
4183	Saint-Julien-du-Verdon	Pelugnes
4184	Saint-Jurs	Saint-Jursiens
4186	Saint-Laurent-du-Verdon	Saint-Laurennais
